DATE;VOLUME
21/11/2022;179,5131
22/11/2022;185,7837
23/11/2022;185,8447
24/11/2022;191,9196
25/11/2022;177,3958
26/11/2022;164,0436
27/11/2022;159,0456
28/11/2022;172,3077
29/11/2022;182,6639
30/11/2022;191,5726
01/12/2022;161,3526
02/12/2022;170,5844
03/12/2022;162,9669
04/12/2022;141,5659
05/12/2022;159,5977
06/12/2022;127,9211
07/12/2022;129,617
08/12/2022;143,3275
09/12/2022;152,8391
10/12/2022;137,9056
11/12/2022;114,4372
12/12/2022;140,686
13/12/2022;155,552
14/12/2022;148,7607
15/12/2022;149,3812
16/12/2022;155,6415
17/12/2022;136,8412
18/12/2022;118,7622
19/12/2022;134,5174
20/12/2022;174,7619
21/12/2022;181,3365
22/12/2022;177,6378
23/12/2022;176,1476
24/12/2022;128,0886
25/12/2022;113,3377
26/12/2022;126,1137
27/12/2022;135,6925
28/12/2022;129,3697
29/12/2022;127,166
30/12/2022;125,426
31/12/2022;108,9481
01/01/2023;99,0084
02/01/2023;127,4181
03/01/2023;153,4365
04/01/2023;162,8633
05/01/2023;190,3878
06/01/2023;194,674
07/01/2023;177,5788
08/01/2023;165,4706
09/01/2023;186,9117
10/01/2023;191,718
11/01/2023;193,3168
12/01/2023;193,4662
13/01/2023;200,1465
14/01/2023;187,7335
15/01/2023;182,0649
16/01/2023;206,7388
17/01/2023;214,1575
18/01/2023;213,4181
19/01/2023;203,0201
20/01/2023;215,3154
21/01/2023;202,6639
22/01/2023;172,9141
23/01/2023;193,2754
24/01/2023;209,4044
25/01/2023;221,2113
26/01/2023;213,3607
27/01/2023;209,3515
28/01/2023;198,0884
29/01/2023;187,8313
30/01/2023;205,0984
31/01/2023;208,6978
01/02/2023;214,2283
02/02/2023;220,2986
03/02/2023;217,8845
04/02/2023;202,5405
05/02/2023;181,0488
06/02/2023;200,4417
07/02/2023;204,8506
08/02/2023;197,3536
09/02/2023;196,5735
10/02/2023;194,0899
11/02/2023;191,4366
12/02/2023;179,2387
13/02/2023;198,7105
14/02/2023;198,7315
15/02/2023;201,9712
16/02/2023;205,0163
17/02/2023;206,1841
18/02/2023;184,2768
19/02/2023;170,7194
20/02/2023;197,8841
