DATE,FORECAST,ACTUAL
2022-09-01,50766.76651116576,47666.44
2022-09-02,50628.915924329325,46676.07
2022-09-03,47167.746422606135,43139.54
2022-09-04,43103.239962994005,38897.26
2022-09-05,49127.87269960097,47056.28
2022-09-06,50900.931252052724,49347.6
2022-09-07,50797.66341376104,50029.88
2022-09-08,50813.63603137068,50011.28
2022-09-09,50675.78544452938,48724.84
2022-09-10,47214.6159428117,46302.87
2022-09-11,43150.10948320468,41510.5
2022-09-12,49174.87312660322,47966.16
2022-09-13,50948.06258583836,49903.53
2022-09-14,50844.92565434777,49009.91
2022-09-15,50861.029178741475,50135.99
2022-09-16,50723.30949869022,49685.3
2022-09-17,47262.27090375279,45276.42
2022-09-18,43197.8953509364,39941.02
2022-09-19,49222.658994322526,47170.31
2022-09-20,50995.84845358141,49778.65
2022-09-21,50892.711522083504,51189.41
2022-09-22,50908.81504647568,51927.26
2022-09-23,50771.095366425216,49914.64
2022-09-24,47310.056771483774,44884.15
2022-09-25,43245.68121867636,39855.25
2022-09-26,49270.444986000715,47599.49
2022-09-27,51043.634569189635,48635.27
2022-09-28,50940.49776163457,49615.95
2022-09-29,50956.60140996238,48341.75
2022-09-30,50818.881853852006,44043.26
2022-10-01,47357.84338284181,41248.14
2022-10-02,43293.46795396951,37773.58
2022-10-03,49318.23172129969,46005.18
2022-10-04,51091.421304484604,48534.47
2022-10-05,50988.28449692539,48999.3
2022-10-06,51004.38814525245,48589.64
2022-10-07,50866.668589142886,48335.82
2022-10-08,39277.14106372867,39539.75
2022-10-09,38404.450094705346,38733.68
2022-10-10,49366.0184565972,47391.5
2022-10-11,51139.20804061257,50744.81
2022-10-12,51036.071233885974,50291.33
2022-10-13,51052.17488305856,50322.73
2022-10-14,50914.45532777733,49815.98
2022-10-15,47453.41685761743,48033.78
2022-10-16,43389.041429561206,44086.19
2022-10-17,49413.80519773759,50946.63
2022-10-18,51186.99478174894,52503.88
2022-10-19,51083.85797501899,53404.08
2022-10-20,51099.961624190044,53760.02
2022-10-21,50962.2420689096,53991.14
2022-10-22,47501.2035987457,48474.92
2022-10-23,43436.82817069712,43103.5
2022-10-24,49461.591938875055,50384.21
2022-10-25,51234.781522881356,55834.66
2022-10-26,51131.644716438,55413.91
2022-10-27,51147.74836588215,52103.99
2022-10-28,51010.02881088842,55055.1
2022-10-29,47548.99034099903,47119.25
2022-10-30,43484.61491323452,41687.33
2022-10-31,49509.378681697235,47995.3
2022-11-01,51282.56826598229,48750.97
2022-11-02,51179.4314595388,51253.38
2022-11-03,51195.53510898201,52366.79
2022-11-04,51057.815553977154,52240.07
