DATE,FORECAST
2022-06-01,44013.83694155301
2022-06-02,49179.13529241657
2022-06-03,50073.138448446785
2022-06-04,46611.33922476847
2022-06-05,42546.2030432283
2022-06-06,48570.20605789218
2022-06-07,50342.63488841477
2022-06-08,50238.73732818514
2022-06-09,50254.080223859135
2022-06-10,50115.59991507824
2022-06-11,46653.80069140153
2022-06-12,42588.664509870345
2022-06-13,48612.6675245359
2022-06-14,50385.0963550505
2022-06-15,50281.19879482863
2022-06-16,50296.541690501705
2022-06-17,50158.06138075202
2022-06-18,46696.26215610063
2022-06-19,42631.12597359874
2022-06-20,48655.12898730396
2022-06-21,50427.557816851055
2022-06-22,50323.660255652176
2022-06-23,50339.00315035559
2022-06-24,50200.522840606696
2022-06-25,46738.723615973024
2022-06-26,42673.58743345837
2022-06-27,48697.59044716528
2022-06-28,50470.01927670586
2022-06-29,50366.121715513276
2022-06-30,50381.46461020948
2022-07-01,50242.9843006263
2022-07-02,46781.185076161295
2022-07-03,42716.04889381014
2022-07-04,48740.05190768779
2022-07-05,50512.4807373893
2022-07-06,50408.58317636397
2022-07-07,50423.926071217895
2022-07-08,50285.44576163551
2022-07-09,39317.134057170355
2022-07-10,32653.69823002431
2022-07-11,48782.513368681306
2022-07-12,50554.9421984026
2022-07-13,50451.04463736823
2022-07-14,50466.38753223887
2022-07-15,50327.90722265034
2022-07-16,46866.108001548986
2022-07-17,42800.97182253416
2022-07-18,48824.97483974213
2022-07-19,50597.403672805754
2022-07-20,50493.50611512303
2022-07-21,50508.84901333431
2022-07-22,50370.36870710344
2022-07-23,46908.56948598902
2022-07-24,42843.4333069805
2022-07-25,48867.43632419136
2022-07-26,50639.8651572539
2022-07-27,50535.96759957273
2022-07-28,50551.31049777756
2022-07-29,50412.83019155312
2022-07-30,44067.16642603026
2022-07-31,41660.98126118415
2022-08-01,48909.897807435475
2022-08-02,50682.32664009132
2022-08-03,50578.429082009796
2022-08-04,50593.7719798173
2022-08-05,50455.29167316713
2022-08-06,46993.49245165539
2022-08-07,42928.356272247496
2022-08-08,48952.35928906885
2022-08-09,50724.78812171672
2022-08-10,50620.89056363581
2022-08-11,50636.233461441785
2022-08-12,50497.75315480708
2022-08-13,47035.95393328052
2022-08-14,42970.817754295735
2022-08-15,48994.820771535306
2022-08-16,50767.24960460405
2022-08-17,40523.3292645338
2022-08-18,48801.990408036254
2022-08-19,50540.21463894032
2022-08-20,47078.41541782775
2022-08-21,43013.279238850606
2022-08-22,49037.282256072314
2022-08-23,50809.71108915393
2022-08-24,50705.81353148578
2022-08-25,50721.1564297067
2022-08-26,50582.67612349719
2022-08-27,47120.876902382726
2022-08-28,43056.370442784675
2022-08-29,49081.00317938716
2022-08-30,50854.06173184689
2022-08-31,50750.79389356029
2022-09-01,50766.76651116576
2022-09-02,50628.915924329325
2022-09-03,47167.746422606135
2022-09-04,43103.239962994005
2022-09-05,49127.87269960097
2022-09-06,50900.931252052724
2022-09-07,50797.66341376104
2022-09-08,50813.63603137068
2022-09-09,50675.78544452938
2022-09-10,47214.6159428117
2022-09-11,43150.10948320468
2022-09-12,49174.87312660322
2022-09-13,50948.06258583836
2022-09-14,50844.92565434777
2022-09-15,50861.029178741475
2022-09-16,50723.30949869022
2022-09-17,47262.27090375279
2022-09-18,43197.8953509364
2022-09-19,49222.658994322526
2022-09-20,50995.84845358141
2022-09-21,50892.711522083504
2022-09-22,50908.81504647568
2022-09-23,50771.095366425216
2022-09-24,47310.056771483774
2022-09-25,43245.68121867636
2022-09-26,49270.444986000715
2022-09-27,51043.634569189635
2022-09-28,50940.49776163457
2022-09-29,50956.60140996238
2022-09-30,50818.881853852006
2022-10-01,47357.84338284181
2022-10-02,43293.46795396951
2022-10-03,49318.23172129969
2022-10-04,51091.421304484604
2022-10-05,50988.28449692539
2022-10-06,51004.38814525245
2022-10-07,50866.668589142886
2022-10-08,39277.14106372867
2022-10-09,38404.450094705346
2022-10-10,49366.0184565972
2022-10-11,51139.20804061257
2022-10-12,51036.071233885974
2022-10-13,51052.17488305856
2022-10-14,50914.45532777733
2022-10-15,47453.41685761743
2022-10-16,43389.041429561206
2022-10-17,49413.80519773759
2022-10-18,51186.99478174894
2022-10-19,51083.85797501899
2022-10-20,51099.961624190044
2022-10-21,50962.2420689096
2022-10-22,47501.2035987457
2022-10-23,43436.82817069712
2022-10-24,49461.591938875055
2022-10-25,51234.781522881356
2022-10-26,51131.644716438
2022-10-27,51147.74836588215
2022-10-28,51010.02881088842
2022-10-29,47548.99034099903
2022-10-30,43484.61491323452
2022-10-31,49509.378681697235
2022-11-01,51282.56826598229
2022-11-02,51179.4314595388
2022-11-03,51195.53510898201
2022-11-04,51057.815553977154
2022-11-05,47596.77708409326
2022-11-06,43532.40165633385
2022-11-07,49557.165424775914
2022-11-08,51330.3550090768
2022-11-09,51227.218202566095
2022-11-10,51243.321851946246
2022-11-11,51105.60229687372
2022-11-12,47644.56382693796
2022-11-13,43580.188399094135
2022-11-14,49604.952167470066
2022-11-15,51378.14175170455
2022-11-16,51275.00494518653
2022-11-17,51291.108594565136
2022-11-18,51153.38903949681
2022-11-19,47692.350569553644
2022-11-20,43627.97514171745
2022-11-21,49652.7389100964
2022-11-22,51425.92849432436
2022-11-23,51322.79168781185
2022-11-24,51338.89533983043
2022-11-25,51201.175787414904
2022-11-26,47740.13732011623
2022-11-27,43675.76189492631
2022-11-28,49700.52566593233
2022-11-29,51473.71525282647
2022-11-30,51370.57844896267
2022-12-01,51386.68210098032
2022-12-02,51248.962548559306
2022-12-03,47787.924081256606
2022-12-04,43723.54865606878
2022-12-05,52248.48073332338
2022-12-06,53648.972269490994
2022-12-07,51418.36521010212
2022-12-08,51434.468861742585
2022-12-09,51296.7493089375
2022-12-10,47835.710841238004
2022-12-11,43771.33541566765
2022-12-12,49796.09918629777
2022-12-13,51569.288772793756
2022-12-14,51466.15196853959
2022-12-15,51482.25562017912
2022-12-16,51344.53606736853
2022-12-17,47883.497599665025
2022-12-18,43819.12217410097
2022-12-19,49843.88594473399
2022-12-20,51617.0755312274
2022-12-21,51513.93872697136
2022-12-22,51530.04237860937
2022-12-23,51392.32282616133
2022-12-24,47931.28435880819
2022-12-25,43866.90893360539
2022-12-26,49891.672704597666
2022-12-27,51664.862291443205
2022-12-28,51561.72548754563
2022-12-29,51577.829139538844
2022-12-30,51440.109587079685
2022-12-31,47979.07111975376
2023-01-01,34440.20724492609
2023-01-02,42273.117639929755
2023-01-03,51712.64905236732
2023-01-04,51609.51224847035
2023-01-05,51625.61590045577
2023-01-06,51487.896348309616
2023-01-07,48026.857881278236
2023-01-08,43962.482456356
2023-01-09,49987.246227661664
2023-01-10,51760.43581480096
2023-01-11,51657.2990111962
2023-01-12,51673.402663493755
2023-01-13,51535.68311134147
2023-01-14,48074.644644300446
2023-01-15,44010.26921938584
2023-01-16,50035.03299067365
2023-01-17,51808.222577827306
2023-01-18,51705.08577422315
2023-01-19,51721.18942651918
2023-01-20,51583.46987436768
2023-01-21,48122.43121015581
2023-01-22,44255.34107894652
2023-01-23,55287.6832572213
2023-01-24,55792.977426875324
2023-01-25,51752.871551382894
2023-01-26,51768.9750065034
2023-01-27,51631.25525718651
2023-01-28,48170.216592977675
2023-01-29,44105.84097087431
2023-01-30,50130.60454499358
2023-01-31,51903.793934963585
2023-02-01,51800.656934192695
2023-02-02,51816.76038931306
2023-02-03,51679.04063998504
2023-02-04,48218.00197578557
2023-02-05,44150.49383312784
2023-02-06,50172.12488669317
2023-02-07,51942.18175609958
2023-02-08,51835.91223478086
2023-02-09,51848.883169344685
2023-02-10,51708.0308994612
2023-02-11,48243.85971469648
2023-02-12,44176.351572040825
2023-02-13,50197.98262561474
2023-02-14,51968.039495026525
2023-02-15,51861.76997369083
2023-02-16,51874.74090825882
2023-02-17,51733.88863837612
2023-02-18,46874.523067847396
2023-02-19,45157.022944680284
2023-02-20,50201.12555325544
2023-02-21,51959.82501702027
2023-02-22,51842.198090050435
2023-02-23,51843.81161897077
2023-02-24,51691.601943457455
2023-02-25,48216.07335304298
2023-02-26,44137.20780475442
2023-02-27,50147.48145269539
2023-02-28,51906.18091645472
2023-03-01,51788.553989488704
2023-03-02,51790.167518401824
2023-03-03,51637.9578428893
2023-03-04,48162.429252470814
2023-03-05,44083.56370419124
2023-03-06,50086.7156382654
2023-03-07,51838.29338819439
2023-03-08,51713.54474737716
2023-03-09,51708.03656246084
2023-03-10,51548.705173090384
2023-03-11,48066.05486884732
2023-03-12,43980.06760670498
2023-03-13,49983.21954078082
2023-03-14,51734.79729070726
2023-03-15,51610.04864989234
2023-03-16,51604.54046496882
2023-03-17,51445.209075599145
2023-03-18,47962.55877135209
2023-03-19,43876.57150921604
