DATE;VOLUME
20/01/2023;52514.14
21/01/2023;50611.7
22/01/2023;44365.23
23/01/2023;55039.67
24/01/2023;55518.87
25/01/2023;56106.71
26/01/2023;54838.26
27/01/2023;55134.48
28/01/2023;50079.15
29/01/2023;46137.54
30/01/2023;51868.49
31/01/2023;52882.33
01/02/2023;50541.1
02/02/2023;51437.39
03/02/2023;51758.84
04/02/2023;48538.4
05/02/2023;41805.08
06/02/2023;49565.43
07/02/2023;53844.66
08/02/2023;53745.93
09/02/2023;54363.69
10/02/2023;54354.3
11/02/2023;51435.97
12/02/2023;42295.02
13/02/2023;51427.7
14/02/2023;55053.31
15/02/2023;56487.62
16/02/2023;57259.76
17/02/2023;51350.59
18/02/2023;46714.95
19/02/2023;45087.23
20/02/2023;54064.64
21/02/2023;56422.79
22/02/2023;57268.53
23/02/2023;56832.78
24/02/2023;56110.8
25/02/2023;52184.94
26/02/2023;45078.28
27/02/2023;52090.59
28/02/2023;58782.4
01/03/2023;50448.77
02/03/2023;51658.03
03/03/2023;51800.58
04/03/2023;47145.2
05/03/2023;41830.19
06/03/2023;54576.84
07/03/2023;53518.56
08/03/2023;51374.77
09/03/2023;52754.24
10/03/2023;54732.43
11/03/2023;52672.95
12/03/2023;45891.04
13/03/2023;54029.58
14/03/2023;56882.41
15/03/2023;57234.92
16/03/2023;55858.45
17/03/2023;54603.81
18/03/2023;50339.73
19/03/2023;45913.77
20/03/2023;54475.4
21/03/2023;55916.1
22/03/2023;48862.36
23/03/2023;50378.88
24/03/2023;53045.17
25/03/2023;51086.15
26/03/2023;45327.26
27/03/2023;48944.3
28/03/2023;53623.99
29/03/2023;51869.16
30/03/2023;51774.56
31/03/2023;52468.37
01/04/2023;49432.37
02/04/2023;45197.96
03/04/2023;52049.7
04/04/2023;50273.48
05/04/2023;52803.36
06/04/2023;54769.69
07/04/2023;48534.85
08/04/2023;48642.48
09/04/2023;46168.1
10/04/2023;51907.94
11/04/2023;52025.92
12/04/2023;50585.28
13/04/2023;49611.6
14/04/2023;51137.8
15/04/2023;45345.99
16/04/2023;38848.92
17/04/2023;44701.17
18/04/2023;41546.62
19/04/2023;49615.95
20/04/2023;49615.95
21/04/2023;49615.95
22/04/2023;49615.95
23/04/2023;49615.95
24/04/2023;49615.95
25/04/2023;49615.95
26/04/2023;49615.95
27/04/2023;49615.95
28/04/2023;49615.95
29/04/2023;49615.95
30/04/2023;49615.95
01/05/2023;49615.95
02/05/2023;36619.9
03/05/2023;41870.57
04/05/2023;42295.73
05/05/2023;43445.31
06/05/2023;39564.94
07/05/2023;49615.95
08/05/2023;49061.62
09/05/2023;55510.81
10/05/2023;54047.49
11/05/2023;56155.13
12/05/2023;56774.87
13/05/2023;52020.45
14/05/2023;46644.34
15/05/2023;55222.23
16/05/2023;55221.88
17/05/2023;56897.43
18/05/2023;49369.99
19/05/2023;54495.52
20/05/2023;50414.44
21/05/2023;36995.36
22/05/2023;45169.16
23/05/2023;48502.46
24/05/2023;46350.75
25/05/2023;47255.89
26/05/2023;47289.07
27/05/2023;42088.95
28/05/2023;49615.95
29/05/2023;41785.99
30/05/2023;44387.87
31/05/2023;42184.39
