DATE;VOLUME
01/02/2023;50541,09568
02/02/2023;51437,38847
03/02/2023;51758,84424
04/02/2023;48538,4001
05/02/2023;41805,0821
06/02/2023;49565,43081
07/02/2023;53844,65665
08/02/2023;53745,9272
09/02/2023;54363,68848
10/02/2023;54354,29877
11/02/2023;51435,96957
12/02/2023;42295,0172
13/02/2023;51427,70282
14/02/2023;55053,31431
15/02/2023;56487,6221
16/02/2023;57259,76079
17/02/2023;51350,58539
18/02/2023;46714,95435
19/02/2023;45087,23249
20/02/2023;54064,64459
21/02/2023;56422,78961
22/02/2023;57268,52807
23/02/2023;56832,78044
24/02/2023;56110,79698
25/02/2023;52184,93932
26/02/2023;45078,28492
27/02/2023;52090,58929
28/02/2023;58782,40074
01/03/2023;50448,77415
02/03/2023;51658,03227
03/03/2023;51800,57983
04/03/2023;47145,20489
05/03/2023;41830,19166
06/03/2023;54576,84312
07/03/2023;53518,56359
08/03/2023;51374,76649
09/03/2023;52754,23891
10/03/2023;54732,42919
11/03/2023;52672,94571
12/03/2023;45891,03793
13/03/2023;54029,57811
14/03/2023;56882,40875
15/03/2023;57234,92287
16/03/2023;55858,45202
17/03/2023;54603,81359
18/03/2023;50339,73235
19/03/2023;45913,77027
20/03/2023;54475,39509
21/03/2023;55916,09816
22/03/2023;48862,36077
23/03/2023;50378,87727
24/03/2023;53045,17287
25/03/2023;51086,15204
26/03/2023;45327,26149
27/03/2023;48944,29555
28/03/2023;53623,98999
29/03/2023;51869,15671
30/03/2023;51774,55836
31/03/2023;52468,3681
01/04/2023;49432,37131
02/04/2023;45197,95757
03/04/2023;52049,69771
04/04/2023;50273,48487
05/04/2023;52803,36433
06/04/2023;54769,69399
07/04/2023;48534,84926
08/04/2023;48642,47836
09/04/2023;46168,10167
10/04/2023;51907,93612
11/04/2023;52025,92007
12/04/2023;50585,28308
13/04/2023;49611,60087
14/04/2023;51137,79945
15/04/2023;45345,9865
16/04/2023;38848,91761
17/04/2023;44701,16998
18/04/2023;41546,62414
19/04/2023;34456,74199
20/04/2023;25471,74742
21/04/2023;23290,25808
22/04/2023;22073,38842
23/04/2023;22188,86574
24/04/2023;22908,44566
25/04/2023;24398,07972
26/04/2023;27103,4681
27/04/2023;31433,19251
28/04/2023;32098,82132
29/04/2023;30183,05297
30/04/2023;28189,4509
01/05/2023;25620,51332
02/05/2023;36619,90209
03/05/2023;41870,5707
04/05/2023;42295,73256
05/05/2023;43445,30856
06/05/2023;39564,94429
07/05/2023;36145,26806
08/05/2023;49061,61816
09/05/2023;55510,81308
10/05/2023;54047,4863
11/05/2023;56155,1345
12/05/2023;56774,87221
13/05/2023;52020,44916
14/05/2023;46644,33973
15/05/2023;55222,23441
16/05/2023;55221,87947
17/05/2023;56897,42902
18/05/2023;49369,98943
19/05/2023;54495,51623
20/05/2023;50414,44316
21/05/2023;36995,35898
22/05/2023;45169,16358
23/05/2023;48502,45963
24/05/2023;46350,74726
25/05/2023;47255,89469
26/05/2023;47289,06831
27/05/2023;42088,95062
28/05/2023;34965,84862
29/05/2023;41785,99002
30/05/2023;44387,87138
31/05/2023;42184,39237
